Total, الإجمالي
Order, الطلب
Sku, SKU
Continue to shipping, تابع إلى الشحن
Continue shopping, تابع التسوق
Continue Shopping, تابع التسوق
CONTINUE SHOPPING, تابع التسوق
Shopping cart, سلة المشتريات
Product, المنتج
Price, السعر
Quantity, الكمية
Remove, إزلة
Qty, الكمية
Sub total, المبلغ الإجمالي
Discount(${coupon}), الخصم (${coupon})
Order summary, ملخص الطلب
Taxes and shipping calculated at checkout, الضرائب وأجور الشحن تحسب عند الدفع
CHECKOUT, الدفع
Change, تفيير
Payment Method, طريفة الدفع
Shipping Method, طريقة الشحن
No payment methods available, لا توجد طريقة للدفع
Place Order, ضع طلباً
My billing address is same as shipping address, عنوان الفوترة هو نفسه عنوان الشحن
${count} items, ${count} منتجات
Discount, الخصم
Shipping, الشحن
No tax, بدون ضرائب
Tax, الضريبة
Sorry, there is no available method for your address, عئراً, لا توجد طريقة شحن للعنوان المطلوب
Please enter a shipping address in order to see shipping quotes, يرجى إدخال عنوان الشحن لتتمكن من معرفة تكلفة الشحن
Continue to payment, تابع للدفع
No payment method available, لا توجد طريقة للدفع
Ship to, إشحن إلى
Shipment, الشحنة
Thank you ${name}!, شكراً لك ${name}!
Contact information, معلومات التواصل
Order #${orderNumber}, 订单 #${orderNumber}
ADD TO CART, أضف إلى السلة
Please select variant options, يرجى إختيار تفاصيل المنتج
VIEW CART (${count}), إذهب إلى سلة المشتريات (${count})
JUST ADDED TO YOUR CART, تم إضافة المنتج للسلة
Promotion code?, لديك كوبون خصم？
Enter coupon code, أدخل رمز الكوبون
Apply, تطبيق
Your cart is empty!, سلة المشتريات فارغة!
